Class,Super-Category,Category,URL Category Enum Value (Cloud Service API),Description,Example URLs
Legal Liability,Illegal or Questionable,Computer Hacking,COMPUTER_HACKING,"Sites related to the promotion of illegal tools and mechanisms to crack passwords, generate and distribute malicious software, or gain unauthorized access to computer systems.","www.astalavista.net, www.cracks.am"
Legal Liability,Illegal or Questionable,Copyright Infringement,COPYRIGHT_INFRINGEMENT,"Sites related to bootlegged or otherwise illegally available copyrighted material, such as program, DVD movies, and CD or MP3 music.","sci-hub.tw, bingemachine.com"
Legal Liability,Illegal or Questionable,Mature Humor,MATURE_HUMOR,"Sites that contain humor and mature themes unsuitable for teenagers and children, but no pornography or strong profanity.","thejokeyard.com, badmovies.org"
Legal Liability,Illegal or Questionable,Other Illegal or Questionable,OTHER_ILLEGAL_OR_QUESTIONABLE,Other sites related to illegal or questionable activities that are not classified in the defined categories. ,"salesreceiptstore.com, katcr.co"
Legal Liability,Illegal or Questionable,Profanity,PROFANITY,"Sites that contain generally acknowledged profanity but do not fall under a more specific category such as ""Pornography.""","www.babyfight.com, www.blowwboston.com"
Legal Liability,Illegal or Questionable,Questionable,QUESTIONABLE,Sites that are generally related to illegal activities but do not fall under a more specific category.,"www.churchofsatan.org, www.satanicchurch.com"
Legal Liability,Militancy/Hate Extremism,Militancy/Hate and Extremism,MILITANCY_HATE_AND_EXTREMISM,"Sites that promote divisive rhetoric or action, describe certain populations as dangerous or evil, or promote intolerance of individuals or groups.","www.newnation.org, www.klanparenthood.com"
Legal Liability,Tasteless,Tasteless,TASTELESS,Sites that contain crude or offensive content. ,"www.morticom.com, www.gore2gasm.com"
Legal Liability,Violence,Violence,VIOLENCE,"Sites that depict, promote, or feature violence.","stranakrovi.com, serienkillers.de"
Legal Liability,Weapons/Bombs,Weapons/Bombs,WEAPONS_AND_BOMBS,"Sites that promote the use, making, or distribution of weapons.","dsparmory.co, nragungiveaway.org"
Productivity Loss,Games,Online and Other Games,OTHER_GAMES,Sites related to online games and other websites related to games that are not included in the defined categories.,"www.worldofwarcraft.com, agame.com"
Productivity Loss,Games,Social Networking Games,SOCIAL_NETWORKING_GAMES,Sites that reside on social networking sites and contain material that would otherwise merit categorization into the Games category.,"www.facebook.com/FarmVille, www.facebook.com/WSOP"
Productivity Loss,Health,Health,HEALTH,Sites related to an individual’s physical and mental well-being.,"multiformelegym.com, ochsstaywell.com"
Productivity Loss,Religion,Alt/New Age,ALT_NEW_AGE,"Sites related to nontraditional or nonreligious spiritual belief systems, or related to the practice or advocacy of affecting events through supernatural means.","thetarotguide.com, mirsularii.com"
Productivity Loss,Religion,Cult,CULT,"Sites related to groups or movements whose membership is marked by zeal, passion, and obedience to a degree generally considered excessive by the mainstream. ","theflatearthsociety.org, medaglia-miracolosa.it"
Productivity Loss,Religion,Other Religion,OTHER_RELIGION,Other sites related to religion that is not classified in the defined categories.,"stmarkstn.org, qcforjesus.com"
Productivity Loss,Religion,Traditional Religion,TRADITIONAL_RELIGION,"Sites related to traditionally organized religious activities, participation, and belief.","www.chc.org.sg, www.buddhanet.net"
Productivity Loss,Shopping and Auctions,Online Auctions,ONLINE_AUCTIONS,Sites that offer participation in online auctions or support the offer and purchase of goods between individuals.,"www.ebay.com, www.onlineauction.com"
Productivity Loss,Shopping and Auctions,Online Shopping,SPECIALIZED_SHOPPING,"Sites that provide, or advertise ways to purchase products or services over the Internet or by telephone. ",www.amazon.com
Productivity Loss,Shopping and Auctions,Other Shopping and Auctions,OTHER_SHOPPING_AND_AUCTIONS,Other sites related to shopping and auctions that are not included in the defined categories. ,"thecholmeleyarms.co.uk, shoppiego.com"
Productivity Loss,Shopping and Auctions,Real Estate,REAL_ESTATE,"Sites that offer information or services related to buying, selling, renting, or financing property.","www.redas.com,www.propnex.com"
Productivity Loss,Social and Family Issues,Family Issues,FAMILY_ISSUES,"Sites related to issues specific to the family such as divorce, adoption, infertility, domestic violence, and so on.","maritallaws.com, resetting-the-family.com"
Productivity Loss,Social and Family Issues,Other Social and Family Issues,OTHER_SOCIAL_AND_FAMILY_ISSUES,Other sites related to social and family issues that are not classified in the defined categories.,"hopecle.org, familiesforfamilies.net"
Productivity Loss,Social and Family Issues,Social Issues,SOCIAL_ISSUES,"Sites related to issues generally considered to engender controversies, such as abortion, euthanasia, legalization of drugs, and so on. ","kandoo.me, robindiangelo.com"
Productivity Loss,Society and Lifestyle,Alcohol/Tobacco,ALCOHOL_TOBACCO,"Sites related to the use of alcohol and tobacco products, excluding those that inform on the hazards of alcohol and tobacco.","www.martell.com, melbournehookah.com.au"
Productivity Loss,Society and Lifestyle,Lifestyle,LIFESTYLE,Sites related to lifestyle activities such as parties and so on for all orientations.,"www.lambda.org, clubmask.com"
Productivity Loss,Society and Lifestyle,Art/Culture,ART_CULTURE,"Sites related to the mores, activities, organizations, and collective behavior of peoples that define various cultures around the world.","www.artandculture.com, www.metmuseum.org"
Productivity Loss,Society and Lifestyle,Dining/Restaurant,DINING_AND_RESTAURANT,"Sites that list, discuss, review, advertise, or promote dining and restaurants.","www.mcdonalds.com, www.hungrygowhere.com"
Productivity Loss,Society and Lifestyle,Hobbies/Leisure,HOBBIES_AND_LEISURE,"Sites related to hobbies and leisure, or pursuits or interests engaged in for pleasure and relaxation.","jenniemasterson.com, takemefishing.org"
Productivity Loss,Society and Lifestyle,Other Society and Lifestyle,OTHER_SOCIETY_AND_LIFESTYLE,Other sites related to society and lifestyle that are not included in the defined categories.,"carolineandmichael2020.com, ashlandandblake.com"
Productivity Loss,Society and Lifestyle,Social Networking,SOCIAL_NETWORKING,"Sites that enable the creation of online communities or the facilitation of personal introductions, dating, and networking.","www.facebook.com, www.friendster.com"
Productivity Loss,Special Interests/Social Organizations,Special Interests/Social Organizations,SPECIAL_INTERESTS,"Sites related to charitable organizations, community or environmental interest groups, or social advocacy. ","www.greenpeace.org, www.audi-denkwerkstatt.de"
Productivity Loss,Sports,Sports,SPORTS,Sites related to sports or recreation.,"espn.go.com, www.nba.com"
Privacy Risk,Security,Custom Encrypted Content,ENCR_WEB_CONTENT,Sites that use custom encryption for protecting users’ data. Zscaler can inspect the HTTP headers of such sites but not the body content. ,"web.tresorit.com, mega.nz"
Privacy Risk,Security,Dynamic DNS Host,DYNAMIC_DNS,Sites that dynamically update the IP address of the hostname and provide DNS resolution. This category includes DNS server URLs that support Dynamic DNS resolution.,"dyndns.com, no-ip.com"
Privacy Risk,Security,Other Security,OTHER_SECURITY,Other sites related to security that are not included in the defined categories.,"trustwave.ctscloud.com, microsoftinternetsafety.net"
Privacy Risk,Security,Spyware/Adware,ADWARE_OR_SPYWARE,Sites that are known to distribute or contain code that displays unwanted advertisements or that gathers user information without the user’s knowledge.,"www.spywareremove.com, www.virusspy.com"
Advanced Security Risk,Advanced Security,Other Advanced Security,ADVANCED_SECURITY,Other sites related to advanced security that are not included in the defined categories.,
Advanced Security Risk,Advanced Security,Phishing,PHISHING,"Sites that mimic legitimate banking and financial sites (e.g., Citibank.com, PayPal.com, etc.). ",
Advanced Security Risk,Advanced Security,Botnet Protection,BOTNET,"Sites that contain software designed to communicate periodically with a ""command and control"" center, and a master application instructs the infected computers to send spam, phishing email, or perform other malicious tasks.",
Advanced Security Risk,Advanced Security,Malicious Content,MALWARE,Sites that attempt to download dangerous content to your browser when you visit them. This includes vulnerable ActiveX controls and web browsers that are known to have been exploited.,
Advanced Security Risk,Advanced Security,Peer To Peer (P2P),PEER_TO_PEER,"Sites that provide P2P file sharing, P2P anonymizer, and P2P VoIP.",
Advanced Security Risk,Advanced Security,Unauthorized Communication Protection,UNAUTH_COMM,"Sites that provide unauthorized communication protection. This includes IRC tunneling applications, SSH tunneling applications, and anonymizer sites that are used to bypass firewalls and proxies.",
Advanced Security Risk,Advanced Security,Cross-site Scripting (XSS),XSS,Sites that allow malicious users to inject their own code into it. This includes cookie stealing and potentially malicious requests.,
Advanced Security Risk,Advanced Security,Browser Exploit,BROWSER_EXPLOIT,Sites with known web browser vulnerabilities that can be exploited. This includes exploits for Internet Explorer and Adobe Flash.,
Advanced Security Risk,Advanced Security,Suspicious Destinations Protection,SUSPICIOUS_DEST,Sites that provide suspicious destinations protection. This includes requests to any country in the world based on ISO3166 mapping of countries to their IP address space. Websites are blocked based on the location of the web server. ,
Advanced Security Risk,Advanced Security,Spyware Callback,ADSPYWARE,Sites that gather users' information without notification and sell this information to advertisers or criminals.,
Advanced Security Risk,Advanced Security,Web Spam,WEBSPAM,"Sites that pretend to contain useful information, to get higher ranking in search engine results or drive traffic to phishing, adware, or spyware distribution sites.",
Advanced Security Risk,Advanced Security,Suspicious Content,PAGE_RISK_IND,"Sites that contain malicious contents such as injected scripts, vulnerable ActiveX, zero-pixel iFrames, etc.",
Advanced Security Risk,Advanced Security,Cryptomining and Blockchain,CRYPTOMINING,Sites that allow cryptocurrency mining network traffic and scripts.,
Advanced Security Risk,Advanced Security,Adware/Spyware Sites,ADSPYWARE_SITES,Sites that contain adware or spyware. Adware displays malicious advertisements that can collect users' information without their knowledge.,
